osmid,y,x,street_count,highway,railway,ref,geometry
7840249557,30.7381769,104.0840689,2,,,,POINT (104.0840689 30.7381769)
7840249558,30.7379397,104.0846175,2,,,,POINT (104.0846175 30.7379397)
7840249559,30.7380956,104.0842569,3,,,,POINT (104.0842569 30.7380956)
7840249560,30.7379583,104.0841826,3,,,,POINT (104.0841826 30.7379583)
7840249561,30.7380613,104.0846953,2,,,,POINT (104.0846953 30.7380613)
7840249562,30.7376628,104.0856226,2,,,,POINT (104.0856226 30.7376628)
7840249563,30.7379135,104.0850393,2,,,,POINT (104.0850393 30.7379135)
7846136677,30.7139043,104.0958616,2,,,,POINT (104.0958616 30.7139043)
7846136678,30.7127231,104.0983379,2,,,,POINT (104.0983379 30.7127231)
7846136679,30.7124474,104.0985051,2,,,,POINT (104.0985051 30.7124474)
7846136680,30.7121939,104.0985593,3,,,,POINT (104.0985593 30.7121939)
7846136681,30.7145771,104.0956459,2,,,,POINT (104.0956459 30.7145771)
7846136682,30.7126334,104.0984357,2,,,,POINT (104.0984357 30.7126334)
7846136683,30.7128615,104.098971,3,,,,POINT (104.098971 30.7128615)
7846136684,30.7127992,104.0987303,2,,,,POINT (104.0987303 30.7127992)
7846162185,30.7127438,104.0984782,2,,,,POINT (104.0984782 30.7127438)
7846162186,30.7127715,104.0983763,2,,,,POINT (104.0983763 30.7127715)
7846162187,30.7140121,104.0957745,2,,,,POINT (104.0957745 30.7140121)
7846162188,30.7141272,104.0955233,4,,,,POINT (104.0955233 30.7141272)
7846162189,30.7142174,104.0952166,2,,,,POINT (104.0952166 30.7142174)
7846162190,30.7149806,104.093028,2,,,,POINT (104.093028 30.7149806)
7846162191,30.7148028,104.0935379,4,,,,POINT (104.0935379 30.7148028)
7846162192,30.7151115,104.0923966,2,,,,POINT (104.0923966 30.7151115)
7846162193,30.715162,104.0923967,2,,,,POINT (104.0923967 30.715162)
7846162194,30.7131599,104.0974221,3,,,,POINT (104.0974221 30.7131599)
7846162195,30.713209,104.0974588,4,,,,POINT (104.0974588 30.713209)
7846162196,30.7155644,104.0989753,3,,,,POINT (104.0989753 30.7155644)
7853267463,30.737453,104.0418509,2,,,,POINT (104.0418509 30.737453)
7858475035,30.6759994,104.095351,3,,,,POINT (104.095351 30.6759994)
7858475036,30.6760402,104.0954977,3,,,,POINT (104.0954977 30.6760402)
7858475038,30.675663,104.095643,3,,,,POINT (104.095643 30.675663)
7871556964,30.6599028,104.0617456,3,,,,POINT (104.0617456 30.6599028)
7871556967,30.6598771,104.0619452,2,,,,POINT (104.0619452 30.6598771)
7871556968,30.6598401,104.0619621,2,,,,POINT (104.0619621 30.6598401)
7871556969,30.659799,104.0619702,2,,,,POINT (104.0619702 30.659799)
7871556970,30.659562,104.0619791,1,,,,POINT (104.0619791 30.659562)
7871556971,30.6596228,104.0647678,1,,,,POINT (104.0647678 30.6596228)
7871556972,30.6598512,104.0647678,2,,,,POINT (104.0647678 30.6598512)
7871556973,30.6598996,104.0647731,2,,,,POINT (104.0647731 30.6598996)
7871556974,30.6599412,104.0648,4,,,,POINT (104.0648 30.6599412)
7871556975,30.6599527,104.0648268,2,,,,POINT (104.0648268 30.6599527)
7871556976,30.6599573,104.0648912,2,,,,POINT (104.0648912 30.6599573)
